INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Immokalee Technical Center,Immokalee,www.itech.edu,12,26.427,-81.4256,0,0,NULL,NULL
American Academy of Cosmetology,Orange Park,www.aacschool.com/,12,30.1233,-81.7984,0,0,NULL,NULL
University of Fort Lauderdale,Lauderhill,uftl.edu/,12,26.1462,-80.2035,0,0,88,NULL
Aviation Institute of Maintenance-Orlando,Casselberry,www.aviationmaintenance.edu,12,28.5444,-81.3427,0,0,NULL,NULL
The Salon Professional Academy-Tampa,Tampa,thesalonprofessionalacademy.com/tampa,12,28.0521,-82.5238,0,0,NULL,NULL
The Salon Professional Academy-Gainesville,Gainesville,www.tspagainesville.com,12,29.6555,-82.4162,0,0,NULL,NULL
The Salon Professional Academy-The Villages,The Villages,www.thevillagestspa.com,12,28.9299,-82.0288,0,0,NULL,NULL
The Hair Academy Inc,Dublin,www.thehairacademyinc.com,13,32.5433,-82.9115,0,0,NULL,NULL
Profile Institute of Barber-Styling,Atlanta,profileinstitute.com,13,33.6811,-84.3881,0,0,NULL,NULL
The Process Institute of Cosmetology,Lawrenceville,www.theprocessinstitute.com,13,33.9649,-84.0225,0,0,NULL,NULL
New Hope Christian College-Honolulu,Honolulu,hawaii.newhope.edu/,15,21.3269,-157.8883,0,0,79,0.9767
D & L Academy of Hair Design,Twin Falls,dlacademyid.com,16,42.5496,-114.4614,0,0,NULL,NULL
Master Educators Beauty School,Twin Falls,www.mastereducatorsbeautyschool.com,16,42.5705,-114.4589,0,0,NULL,NULL
Ambria College of Nursing,Hoffman Estates,ambria.edu,17,42.0789,-88.2101,0,0,NULL,NULL
Midwestern Career College,Chicago,www.mccollege.edu,17,41.8822,-87.6371,0,0,NULL,NULL
Paul Mitchell the School-Normal,Normal,normal.paulmitchell.edu/,17,40.5103,-88.9603,0,0,NULL,NULL
Innovations Design Academy,Canton,www.innovationsdesignacademy.com,17,40.5584,-90.0332,0,0,NULL,NULL
Aveda Fredric's Institute-Indianapolis,Indianapolis,www.avedafredricsinstitute.com/,18,39.9054,-86.0641,0,0,NULL,NULL
The Salon Professional Academy-Anderson,Anderson,www.thesalonprofessionalacademy.com/anderson/,18,40.0607,-85.653,0,0,NULL,NULL
Eric Fisher Academy,Wichita,www.ericfisheracademy.com,20,37.6944,-97.4219,0,0,NULL,NULL
A & W Healthcare Educators,New Orleans,www.awhealthedu.com,22,30.0275,-90.0116,0,0,NULL,NULL
My Le's Beauty College,Gretna,mylebeautycollegellc.com/Home.html,22,29.9027,-90.0301,0,0,NULL,NULL
Blackstone Valley Vocational Regional School District,Upton,www.valleytech.k12.ma.us,25,42.1643,-71.6145,0,0,NULL,NULL
Southern Worcester County Regional Voc School District,Charlton,www.baypath.net,25,42.132,-71.9592,0,0,NULL,NULL
L'esprit Academy,Livonia,www.lespritacademy.com,26,42.3825,-83.3549,0,0,NULL,NULL
Marketti Academy of Cosmetology,Waterford,www.marketticosmetology.com/,26,42.6827,-83.3754,0,0,NULL,NULL
CenterPoint Massage and Shiatsu Therapy School and Clinic,St Louis Park,centerpointmn.com,27,44.9394,-93.3467,0,0,NULL,NULL
Avalon School of Cosmetology,Worthington,avaloncosmetologyschool.com,27,43.6319,-95.6029,0,0,NULL,NULL
American Business and Technology University,St Joseph,abtu.edu,29,39.7758,-94.8328,0,0,NULL,NULL
City Vision College,Kansas City,www.cityvision.edu,29,39.0708,-94.5764,0,0,NULL,NULL
Transformed Barber and Cosmetology Academy,Kansas City,transformedbca.com/,29,38.9531,-94.5225,0,0,NULL,NULL
